# Peptide Hormones  Preprohormone Genes, Processing Sites, and Secretion Pathways

| Hormone | Preprohormone gene | Precursor length (aa) | Major processing enzymes | Main processing compartment | Secretory pathway |
| --- | --- | --- | --- | --- | --- |
| Insulin | INS | ~110 (preproinsulin) | PC1/3, PC2, CPE | Secretory granules | Regulated exocytosis |
| Glucagon | GCG | ~180 (preproglucagon) | PC2 (pancreas), PC1/3 (gut) | Secretory granules | Regulated exocytosis |
| ACTH | POMC | ~267 | PC1/3, PC2 | Secretory granules | Regulated exocytosis |
| Vasopressin (ADH) | AVP | ~164 | Prohormone convertases | Neurosecretory vesicles | Axonal release |
| Oxytocin | OXT | ~125 | Prohormone convertases | Neurosecretory vesicles | Axonal release |
| Parathyroid hormone (PTH) | PTH | ~115 (prepro-PTH) | Signal peptidase, propeptidase | ER/Golgi | Constitutive + regulated |
| Calcitonin | CALCA | ~141 | PC1/3, amidation enzymes | Secretory granules | Regulated exocytosis |
| Growth hormone (GH) | GH1 | ~217 (pre-GH) | Signal peptidase | ER/Golgi | Regulated exocytosis |
| Prolactin | PRL | ~227 (pre-PRL) | Signal peptidase | ER/Golgi | Regulated exocytosis |
